SectionID,Description,Longitude,Latitude
73,Via Augusta (Muntaner a Mitre),2.132855081210556,41.39783179317504
74,Via Augusta (Muntaner a Pl. Molina),2.14324745961459,41.39883723967652
75,Via Augusta (Pl. Molina a Muntaner),2.14316452761838,41.39890804499544
76,Via Augusta (Príncep d'Astúries a Pl. Molina),2.147653471793694,41.40121928040267
77,Via Augusta (Príncep d'Astúries a Travessera de Gràcia),2.150924953604845,41.40055597013868
78,Via Augusta (Travessera de Gràcia a Príncep d'Astúries),2.151275193676769,41.40049161123837
79,Via Augusta (Travessera de Gràcia a Diagonal),2.153186987611491,41.39842388540784
80,Via Augusta (Diagonal a Travessera de Gràcia),2.153320475072256,41.39849030383854
81,Príncep d'Astúries (Pl. Lesseps a Via Augusta),2.149560446321661,41.40644790244836
82,Príncep d'Astúries (Via Augusta a Pl. Lesseps),2.151281990765521,41.4005094933265
83,República Argentina (Craywinckel a Bolívar),2.139938976107152,41.41246000590063
84,República Argentina (Bolívar a Pl. Lesseps),2.145624246063225,41.41081048840697
85,Hospital Militar (Ronda de Dalt a Esteve Terradas),2.140275791324389,41.42040072383414
86,Hospital Militar (Esteve Terradas a Ronda de Dalt),2.143057128865229,41.4127024277656
87,Hospital Militar (Esteve Terradas a Ballester),2.142977370443342,41.4127024535737
88,Hospital Militar (Pl. Lesseps a Esteve Terradas),2.143060470266764,41.41271477906312
89,Gran de Gràcia (Pl. Joan Carles I a Travessera de Gràcia),2.159532094534289,41.39673891803066
90,Gran de Gràcia (Travessera de Gràcia a Pl. Lesseps),2.155479514648078,41.39985197423292
91,Passeig de la Bonanova (Via Augusta a Pl. Bonanova),2.123071539286234,41.40081897624339
92,Passeig de la Bonanova (Pl. Bonanova a Via Augusta),2.133034962072422,41.40642228430876
93,Passeig de Sant Gervasi (Pl. Bonanova a Balmes),2.133803146104767,41.4068334002393
94,Passeig de Sant Gervasi (Balmes a Pl. Bonanova),2.133733839866239,41.40685774956858
95,Craywinckel - República Argentina (Balmes a Pl. Alfonso Comín),2.13714034525369,41.41023559526721
96,Passeig de Sant Gervasi (Pl. Alfonso Comín a Balmes),2.137305128965685,41.4143391092673
97,Mitre (Via Augusta a Balmes),2.132973968357783,41.39785283225579
98,Mitre (Balmes a Via Augusta),2.132800858458508,41.39785415475829
99,Mitre (Balmes a Pl. Lesseps),2.140870634314853,41.40440868630283
100,Mitre (Pl. Lesseps a Balmes),2.140648116990227,41.40448234147681
101,Travessera de Gràcia (Pl. Francesc Macià a Aribau),2.145328725665552,41.39328713932515
102,Travessera de Gràcia (Aribau a Via Augusta),2.149330405746273,41.39593880954032
103,Diagonal (Pl. Francesc Macià a Balmes),2.145089368188193,41.39275830729402
104,Diagonal (Balmes a Pl. Francesc Macià),2.145092239861253,41.39293570944426
105,Diagonal (Balmes a Pl Joan Carles I),2.154850186332837,41.39522659412929
106,Diagonal (Pl. Joan Carles I a Balmes),2.15466087572173,41.39535060583839
107,Numància (Diagonal a Travessera de les Corts),2.132706747742488,41.38946387844153
108,Numància (Travessera de les Corts a Berlin),2.135210188921466,41.38692300541036
109,Numància (Berlin a Pl. Països Catalans),2.139070555369411,41.38322344911437
110,Tarragona (Pl. Països Catalans a Aragó),2.142400475118791,41.38059273660183
111,Tarragona (Aragó a Pl.Espanya),2.145941957959057,41.37805632119623
112,Entença (Gran Via a Aragó),2.152910484157977,41.37790468084696
113,Entença (Aragó a Av. Roma),2.14941877630898,41.38053830848952
114,Entença (Av. Roma a Josep Tarradellas),2.147202814835902,41.38219680794396
115,Entença (Josep Tarradellas a Travessera de les Corts),2.142591392952453,41.38562983923275
116,Entença (Travessera de les Corts a Diagonal),2.138884467899618,41.38903921569207
117,Urgell (Gran Via a Aragó),2.158536123464652,41.38216041159433
118,Urgell (Aragó a Av. Sarrià),2.155087251262404,41.3847939170512
119,Av. Sarrià (Urgell a Diagonal),2.148244542341879,41.38985949424406
120,Aribau (Pl. Universitat a Aragó),2.162980801586023,41.3856737244
121,Aribau (Aragó a Diagonal),2.15959490754724,41.38822927677844
122,Balmes (Diagonal a Aragó),2.154873060655214,41.39519714300544
123,Balmes (Aragó a Gran Via),2.161848158706636,41.38990926699342
124,Passeig de Gràcia (Gran Via a Aragó),2.168275100659407,41.38966295623634
125,Passeig de Gràcia (Aragó a Pl. Joan Carles I),2.164962057064721,41.39228833123664
126,Travessera de les Corts (Av. Sarrià a Entença),2.14132359641694,41.39086966809639
127,Travessera de les Corts (Entença a Numància),2.138881254695975,41.38904282830882
128,Travessera de les Corts (Numància a Carles III),2.135218562339925,41.38693508241438
129,Av. Madrid (Carles III a Numància),2.139074460880526,41.3831986539319
130,Berlín (Numància a Josep Tarradellas),2.139068910621274,41.38322649553167
131,París (Josep Tarradelles a Urgell),2.142615523258546,41.38563110098092
132,París (Urgell a Balmes),2.148255072371528,41.38987670402769
133,Carrer de Sants (Carles III a Premià),2.130595103233517,41.37547832787384
134,Carrer de Sants (Premià a Carles III),2.13056495482207,41.37551932892383
135,Carrer de Sants (Premià a Pl. Espanya),2.139034068603962,41.37525965171701
136,Carrer de Sants (Pl. Espanya a Premià),2.148606139352793,41.37521288250654
137,Av. Roma (Aragó a Urgell),2.157152358232892,41.38646735139697
138,Av. Roma (Urgell a Entença),2.15440131474212,41.38527936347686
139,Av. Roma (Entença a Pl. Països Catalans),2.147195775005304,41.38218890276119
140,Mallorca (Passeig de Gràcia a Aribau),2.162703538301531,41.39395630202577
141,Mallorca (Aribau a Urgell),2.157346977496297,41.38989452744422
142,València (Urgell a Balmes),2.153945136121882,41.38564435289319
143,València ( Balmes a Pau Claris),2.160747098064935,41.3907497713866
144,Aragó (Pau Claris a Balmes),2.166388937011798,41.3933120755603
145,Aragó (Balmes a Urgell),2.161836697830828,41.38990101920162
146,Aragó (Urgell a Tarragona),2.155077431457955,41.38480688903729
147,Passeig de la Zona Franca (Pl. Cerdà a Foc),2.135522320640717,41.36437403474587
148,Passeig de la Zona Franca (Foc a Pl. Cerdà),2.135855093788495,41.364740410228
149,Passeig de la Zona Franca (Foc a Ronda del Litoral),2.141702805665782,41.35634614904937
150,Passeig de la Zona Franca (Ronda del Litoral a Foc),2.141850675253816,41.35640980120439
